index,material_no,name,category,glass_t1_mm,glass_cavity_mm,glass_t2_mm,spectrum_ok,R_125_Hz,R_250_Hz,R_500_Hz,R_1000_Hz,R_2000_Hz,R_4000_Hz
2310,2431,ramen: enkele dichting door lipprofiel met hoogte > 9 mm,,,,,True,45.0,45.0,45.0,45.0,45.0,45.0
2311,2432,ramen: enkele dichting door lipprofiel met hoogte 7-9 mm,,,,,True,35.0,35.0,35.0,35.0,35.0,35.0
2312,2433,ramen: enkele dichting door lipprofiel met hoogte < 7 mm,,,,,True,25.0,25.0,25.0,25.0,25.0,25.0
2313,2434,"ramen: geen dichting, spleet 1-5 mm",,,,,True,20.0,20.0,20.0,20.0,20.0,20.0
2314,2435,"ramen: geen dichting, spleet 1-5 mm",,,,,True,25.0,25.0,25.0,25.0,25.0,25.0
2315,2436,deuren: tochtband en geen extra dichting bij dorpel,,,,,True,25.0,25.0,25.0,25.0,25.0,25.0
2316,2437,deuren: tochtband en geen extra dichting bij dorpel,,,,,True,30.0,30.0,30.0,30.0,30.0,30.0
2317,2438,"deuren: enkele aanslag rondom, diverse profielen",,,,,True,35.0,35.0,35.0,35.0,35.0,35.0
2318,2439,"deuren: enkele aanslag rondom, diverse profielen",,,,,True,40.0,40.0,40.0,40.0,40.0,40.0
2319,2440,deuren: dubbele aanslag rondom,,,,,True,40.0,40.0,40.0,40.0,40.0,40.0
2320,2441,"dakramen: raam-op-kast, enkel profiel",,,,,True,30.0,30.0,30.0,30.0,30.0,30.0
2321,2442,"dakramen: raam-op-kast, enkel profiel",,,,,True,35.0,35.0,35.0,35.0,35.0,35.0
2322,2443,"dakramen: raam-in-kast, enkel profiel",,,,,True,40.0,40.0,40.0,40.0,40.0,40.0
2323,2444,"dakramen: raam-in-kast, enkel profiel",,,,,True,45.0,45.0,45.0,45.0,45.0,45.0
2324,2445,dakramen: drievoudig profiel,,,,,True,50.0,50.0,50.0,50.0,50.0,50.0
2325,2446,dakramen: drievoudig profiel,,,,,True,55.0,55.0,55.0,55.0,55.0,55.0
2326,2447,"gesloten beglaasd, droog beglaasd, schuimband+lat, kunststofraam+lipprofiel",,,,,True,55.0,55.0,55.0,55.0,55.0,55.0
2327,2448,"droog beglaasd, band met/zonder topafdichting",,,,,True,50.0,50.0,50.0,50.0,50.0,50.0
2328,2449,"droog beglaasd, band met/zonder topafdichting (slechte uitvoering)",,,,,True,45.0,45.0,45.0,45.0,45.0,45.0
2329,2450,Geen dichting [3],,,,,True,19.0,23.0,24.0,19.0,17.0,0.0
2330,2451,"V-profiel, indrukking 2 mm [3]",,,,,True,24.0,28.0,29.0,24.0,22.0,0.0
2331,2452,"O-profiel, indrukking 3 mm [3]",,,,,True,35.0,36.0,34.0,28.0,28.0,0.0
2332,2453,"V-profiel, indrukking 8 mm [3]",,,,,True,39.0,41.0,40.0,33.0,33.0,0.0
2333,2454,"O-profiel, indrukking 3.5 mm [3]",,,,,True,41.0,44.0,44.0,38.0,39.0,0.0
